TN,FP,FN,TP,Round,SamplerAndClassifer,Precision,Recall,F05,F1,F2,Precision0,Recall0,F05_anti,F1_anti,F2_anti,AUC,AUC0,Accuracy
28,152,79,732,992,InstanceHardnessThreshold_GaussianNB,0.8280542986425339,0.9025893958076449,0.8419599723947548,0.8637168141592919,0.8866279069767441,0.2616822429906542,0.15555555555555556,0.2302631578947368,0.1951219512195122,0.16928657799274485,0.5290724756816002,0.4709275243183998,0.7669021190716448
47,133,129,682,992,SMOTETomek_RandomForestClassifier,0.8368098159509203,0.840937114673243,0.837632031441906,0.8388683886838869,0.8401084010840107,0.26704545454545453,0.2611111111111111,0.2658371040723982,0.2640449438202247,0.26227678571428575,0.551024112892177,0.448975887107823,0.7356205852674067
85,95,257,554,992,SMOTETomek_DecisionTreeClassifier,0.8536209553158706,0.6831072749691739,0.8130319929556795,0.7589041095890412,0.7115335217056256,0.24853801169590642,0.4722222222222222,0.2745478036175711,0.32567049808429116,0.4001883239171375,0.577664748595698,0.42233525140430195,0.644803229061554
63,117,156,655,992,SMOTETomek_GradientBoostingClassifier,0.8484455958549223,0.8076448828606658,0.8399589638368812,0.8275426405559065,0.8154880478087648,0.2876712328767123,0.35,0.2982954545454546,0.31578947368421056,0.3354632587859425,0.5788224414303329,0.4211775585696671,0.7245206861755802
4,176,6,805,992,SMOTETomek_GaussianNB,0.8205912334352702,0.9926017262638718,0.8500527983104541,0.8984375000000001,0.9526627218934911,0.4,0.022222222222222223,0.09090909090909091,0.042105263157894736,0.027397260273972605,0.507411974243047,0.492588025756953,0.8163471241170535
54,126,148,663,992,SMOTEENN_RandomForestClassifier,0.8403041825095057,0.8175092478421702,0.8356440635240735,0.82875,0.8219687577485743,0.26732673267326734,0.3,0.2732793522267207,0.2827225130890052,0.2928416485900217,0.5587546239210851,0.4412453760789149,0.7235116044399597
78,102,272,539,992,SMOTEENN_DecisionTreeClassifier,0.8408736349453978,0.6646115906288532,0.7985185185185185,0.7424242424242424,0.6936936936936936,0.22285714285714286,0.43333333333333335,0.2468354430379747,0.2943396226415094,0.3644859813084112,0.5489724619810933,0.4510275380189067,0.6226034308779012
51,129,139,672,992,SMOTEENN_GradientBoostingClassifier,0.8389513108614233,0.8286066584463625,0.8368617683686178,0.8337468982630273,0.8306551297898642,0.26842105263157895,0.2833333333333333,0.2712765957446808,0.27567567567567564,0.28021978021978017,0.5559699958898479,0.4440300041101521,0.7295660948536832
18,162,39,772,992,SMOTEENN_GaussianNB,0.8265524625267666,0.9519112207151664,0.8489113701341543,0.8848137535816619,0.9238870272857826,0.3157894736842105,0.1,0.22058823529411767,0.15189873417721522,0.11583011583011585,0.5259556103575832,0.4740443896424168,0.7971745711402624
8,172,16,795,992,no_sampling_RandomForestClassifier,0.8221302998965874,0.9802712700369913,0.8495405001068603,0.8942632170978627,0.9439563049156968,0.3333333333333333,0.044444444444444446,0.14492753623188406,0.0784313725490196,0.053763440860215055,0.5123578572407178,0.48764214275928214,0.8102926337033299
